question,answer
What are the funding options for part-time students?,"Funding is available for part-time students enrolled in a loan-eligible program. Only approved programs listed on the Program Cost page at Douglas College are eligible for student loan/grant funding.Students must be enrolled in 3 to 8.5 credits in order to apply for a part-time student loan and grant funding. The Part-time studies application only covers educational costs such as tuition, books, transportation and unsubsidized child care costs.To apply for B.C. and Canada student financial aid as a part-time student, follow the steps below:To create your Student Account, you must first set up a BC Services Card account as your digital ID. During the setup, you will need to verify your identity. Go to the Student Account for part-time students and click the ""Log in/Register"" button and it will guide you through the process. Download and set up a BC Services Card App. Complete and submit your online application through the Student Account for part-time students. To submit your application, you will need to read and accept the terms and conditions of the StudentAid BC Declaration and the Canada Revenue Agency (CRA) Consent for income verification.Start your part-time application now If you are a student with a disability, learn how to apply for part-time student funding for students with disabilities.More information regarding part-time applications is available on SABC's site: ""How to Apply as Part-time Student"" Funding: If approved, you will be required to complete your Master Student Financial Assistance Agreement (MSFAA) which will be sent to you via email approximately 2 weeks after submitting your loan application.Who qualifies: If you are a Canadian citizen, permanent resident or convention refugee whose income is low and are registered part time in an eligible program, you may qualify if you meet all other eligibility requirements."
Do I qualify for funding if I am repeating a course?,You may submit an appeal request to repeat your course when you have passed a course but did not obtain the grade required to proceed to the next level in your program of post-secondary study.
What is an overaward and how do I repay it?,Find more information here: https://studentaidbc.ca/help-centre/applying-loans/why-do-i-have-overawardFor repayment of an overaward: https://studentaidbc.ca/help-centre/loan-repayment/how-do-i-repay-my-overaward  
How do I maintain in in-study payment-free status?,"If you are a returning student and are not receiving further full-time student financial assistance, you must apply to maintain your ""in-study payment-free"" status so that your Canada-BC integrated student loan does not go into repayment while you are in study.Apply for in-study payment0free status through the StudentAid BC dashboard or the NSLSC portal. "
Do I qualify for funding if I am enrolled in more than one post-secondary school?,"Qualifying for funding while enrolled at more than one eligible school, is called ""Split Enrolment."" See information from StudentAid BCContact your Student Success Advisor (SSA) for further information. If Douglas is not your home school (where you will graduate from), then please also contact the Financial Aid Office at your home school. "
How will failing a course affect my student loan?,"To continue receiving financial aid, the Canada Student Financial Assistance Act, Canada Student Financial Assistance Program policy and StudentAid BC policy require you to maintain a satisfactory scholastic standing. More about this: https://studentaidbc.ca/maintain/responsibilities#scholastic-standing   "
What are the study period dates and program code for my Part- and Full-time Funding applications?,"Study period dates are different from the class start and end dates. To ensure you are accurately funded, find study dates and program codes for each semester on the  Program Cost page. "
Funding for upgrading courses,The Adult Upgrading Grant helps students based on financial need who are enrolled in upgrading courses and special education programs:Local Industry Skills Training (LIST)Career and Employment Preparation (CAEP)Customer Service and Cashier Training (CSCT)3rd and 4th level English and Mathematics Upgrading (ENGU and MATU)2nd and 3rd level English Language Learning and Acquisition (ELLA)
Options for students who do not qualify for government student loans and grants,"Email Student Success Advising to talk to you Student Success Advisor to discuss available options.Visit your banking institution to apply for a private student loan or line of credit. A co-signer may be required and interest is charged while you are in school.Browse Employment and Social Development Canada for sponsorship or training assistance if you:Are an unemployed person in receipt of Employment Insurance (EI) benefits,Or have received benefits in the last three years,Or have started a maternity or parental EI claim within the last five yearsTalk to an Indigenous Student Support Navigator for information on band funding if you are an Indigenous student and check out Indigenous and Northern Affairs Canada for scholarships, bursaries, and awards.Earn while you learn by working part-time on or off-campus. Visit the Career Centre, where you’ll find free help and resources, including 1:1 coaching on how seek employment. "
Provincial tuition waiver program for former youth in care,"Tuition for Former Youth in Care will be waived for B.C. students attending a B.C. public post-secondary institution who meet the eligibility criteria outlined in the application form below.  This program is open to students pursuing programs that lead to a certificate, diploma, or undergraduate degree.  Students enrolled in graduate programs or post-graduate courses are not eligible. Students registering in Continuing Education courses are also eligible.Students who wish to be considered for the waiver while studying at Douglas College must complete the Provincial Tuition Waiver Application and return it to the Enrolment Services Office at either the Coquitlam (A1450) or New Westminster (S2700) Campus.For more information, check out BC Government. "
